"Województwo","Powiat","Gmina","Teryt","Liczba.wyborców.uprawnionych.do.głosowania","Komisja.otrzymała.kart.do.głosowania","Nie.wykorzystano.kart.do.głosowania","Liczba.wyborców..którym.wydano.karty.do.głosowania","Liczba.wyborców.głosujących.przez.pełnomocnika","Liczba.wyborców.głosujących.na.podstawie.zaświadczenia","Liczba.wyborców..którym.wysłano.pakiety.wyborcze","Liczba.otrzymanych.kopert.zwrotnych","w.których.nie.było.oświadczenia","w.których.oświadczenie.nie.było.podpisane","w.których.nie.było.koperty.na.kartę.do.głosowania","w.których.znajdowała.się.niezaklejona.koperta","Liczba.kopert.na.kartę.do.głosowania.wrzuconych.do.urny","Liczba.kart.wyjętych.z.urny","w.tym.liczba.kart.wyjętych.z.kopert","Liczba.kart.nieważnych","Liczba.kart.ważnych","Liczba.głosów.nieważnych","Liczba.głosów.ważnych","RAZEM","Grzegorz.Michał.BRAUN","Andrzej.Sebastian.DUDA","Adam.Sebastian.JARUBAS","Bronisław.Maria.KOMOROWSKI","Janusz.Ryszard.KORWIN.MIKKE","Marian.Janusz.KOWALSKI","Paweł.Piotr.KUKIZ","Magdalena.Agnieszka.OGÓREK","Janusz.Marian.PALIKOT","Paweł.Jan.TANAJNO","Jacek.WILK"
"pomorskie","słupski","gm. Ustka","221210",6446,5357,2476,2881,0,149,0,0,0,0,0,0,0,2881,0,0,2881,42,2839,2839,16,801,41,1160,103,16,584,72,35,1,10
"pomorskie","słupski","gm. Główczyce","221204",7217,6205,3727,2478,0,9,3,3,0,0,0,0,3,2481,3,0,2481,34,2447,2447,16,638,31,1149,62,21,437,50,30,6,7
"pomorskie","słupski","gm. Słupsk","221208",12445,10537,5390,5147,1,30,0,0,0,0,0,0,0,5146,0,0,5146,65,5081,5081,31,1177,48,2166,198,35,1163,131,91,12,29
"pomorskie","słupski","gm. Potęgowo","221207",5492,4811,3084,1727,0,10,0,0,0,0,0,0,0,1727,0,0,1727,23,1704,1704,11,395,24,805,49,5,331,47,28,5,4
"pomorskie","słupski","gm. Damnica","221202",4783,4200,2524,1676,0,4,0,0,0,0,0,0,0,1675,0,0,1675,16,1659,1659,6,488,24,709,58,12,295,44,17,2,4
"pomorskie","słupski","gm. Kobylnica","221206",8527,7233,3873,3360,2,24,0,0,0,0,0,0,0,3360,0,0,3360,30,3330,3330,14,900,43,1357,97,11,741,90,57,6,14
"pomorskie","słupski","gm. Dębnica Kaszubska","221203",7507,6602,3927,2675,1,18,1,1,0,0,0,0,1,2676,1,0,2676,52,2624,2624,21,720,40,1165,69,15,498,57,29,1,9
"pomorskie","starogardzki","gm. Bobowo","221304",2294,2000,1029,971,0,3,0,0,0,0,0,0,0,971,0,0,971,14,957,957,6,405,16,290,26,4,158,37,5,0,10
"pomorskie","starogardzki","gm. Lubichowo","221306",4923,4101,1963,2138,0,40,0,0,0,0,0,0,0,2138,0,0,2138,16,2122,2122,6,746,38,817,47,8,384,52,17,2,5
"pomorskie","starogardzki","gm. Smętowo Graniczne","221311",4170,3600,1868,1732,2,7,0,0,0,0,0,0,0,1732,0,0,1732,11,1721,1721,17,565,23,690,63,8,269,53,25,5,3
"pomorskie","starogardzki","gm. Skarszewy","221309",10805,9107,4456,4652,3,26,0,0,0,0,0,0,0,4652,0,0,4652,31,4621,4621,25,1786,46,1728,129,21,715,101,41,11,18
"pomorskie","starogardzki","gm. Zblewo","221313",8710,7603,3920,3683,2,24,0,0,0,0,0,0,0,3683,0,1,3682,21,3661,3661,19,1347,89,1308,107,28,630,78,23,12,20
"pomorskie","starogardzki","gm. Czarna Woda","221301",2652,2300,977,1323,0,6,0,0,0,0,0,0,0,1323,0,0,1323,8,1315,1315,6,530,15,450,19,4,239,34,11,0,7
"pomorskie","starogardzki","gm. Kaliska","221305",4136,3500,1666,1834,0,16,0,0,0,0,0,0,0,1834,0,0,1834,9,1825,1825,8,633,24,707,45,7,333,46,11,0,11
"pomorskie","starogardzki","gm. Starogard Gdański","221312",11709,10228,4396,5832,0,15,0,0,0,0,0,0,0,5831,0,0,5831,41,5790,5790,44,2064,64,1974,158,16,1188,158,68,12,44
"pomorskie","starogardzki","gm. Osieczna","221307",2274,2006,964,1042,0,11,0,0,0,0,0,0,0,1042,0,0,1042,3,1039,1039,2,414,12,414,19,6,146,20,3,2,1
"pomorskie","starogardzki","gm. Osiek","221308",2027,1701,722,979,0,28,0,0,0,0,0,0,0,979,0,0,979,11,968,968,3,315,12,446,18,2,135,28,6,1,2
"pomorskie","starogardzki","m. Skórcz","221302",2696,2305,992,1313,0,9,2,2,0,0,0,0,2,1315,2,0,1315,9,1306,1306,8,542,16,423,33,4,237,27,9,1,6
"pomorskie","starogardzki","gm. Skórcz","221310",3543,3000,1484,1516,0,9,0,0,0,0,0,0,0,1516,0,0,1516,15,1501,1501,10,657,53,431,38,16,235,41,8,2,10
"pomorskie","starogardzki","m. Starogard Gdański","221303",37212,32344,14856,17487,4,61,7,7,0,0,0,0,7,17493,7,3,17490,101,17389,17389,121,5804,142,6721,471,90,3293,403,226,35,83
"pomorskie","tczewski","gm. Morzeszczyn","221403",2846,2400,1354,1046,2,2,0,0,0,0,0,0,0,1046,0,0,1046,13,1033,1033,11,324,12,396,36,3,205,32,9,0,5
"pomorskie","tczewski","gm. Tczew","221406",10062,8848,4159,4689,0,12,1,1,0,0,0,0,1,4690,1,0,4690,45,4645,4645,43,1358,62,1886,151,23,971,83,47,2,19
"pomorskie","tczewski","gm. Pelplin","221404",12749,11188,5940,5251,0,18,0,0,0,0,0,0,0,5251,0,0,5251,22,5229,5229,26,1747,63,2157,152,28,864,116,41,6,29
"pomorskie","tczewski","gm. Gniew","221402",12227,10405,5527,4878,4,12,0,0,0,0,0,0,0,4878,0,0,4878,43,4835,4835,25,1430,49,2111,88,28,924,116,40,13,11
